respondent_id,submitted,Tutorial Class,Degree,Programming Experience,Experience in Python,Used Jupyter Notebooks,Other Programming Language Competency,SQL Competency,RDBMS Competency
193,2020-02-27 07:14:37 UTC,"-------------------
DATA2901 Laboratory
-------------------

Friday 8 a.m. to 10 a.m., weeks 1-6 and 8-13 of semester 1 in [SIT Lab 114] (https://web.timetable.usyd.edu.au/examVenueDetails.jsp?venueAlias=J12.114)","Bsc and Advanced Studies (Advanced)

2nd year",1,Written some simple Python programs,Yes,R,"Heard of it, but never used it.",
194,2020-02-27 07:06:22 UTC,DATA2001; Tutorial is on Friday at 10 am.,Undergraduate exchange student. Studying for a Master's in Mechanical Engineering at my home institution.,3.5,Competent Python programmer (familiar with eg. functions and classes),Yes,Matlab,Written some SQL queries already.,PostgreSQL
195,2020-02-27 01:46:45 UTC,F10B,Bachelor of Science and Bachelor of Advanced Studies (Advanced) - Second Year,2,Have written complex Python programs already.,Yes,"Javascript/ECMAScript,Matlab,R",Can already create tables and write complex SQL queries.,
196,2020-02-27 00:43:00 UTC,F10D,Bachelor of Advanced Computing,2,Written some simple Python programs,No,Java,"Heard of it, but never used it.",MySQL
197,2020-02-26 23:06:29 UTC,,Software Engineering 4th year,3,None,No,"C,Java",Written some SQL queries already.,MySQL
198,2020-02-26 22:11:22 UTC,F12B,science 2nd year,1,Written some simple Python programs,Yes,"C,R",Can interpret some SQL statements.,
199,2020-02-26 19:54:04 UTC,Friday 10am-12pm at SIT118,"Bachelor of Science, year 3.",2.5,Competent Python programmer (familiar with eg. functions and classes),No,"Java,Matlab,R","Heard of it, but never used it.",Microsoft Access
200,2020-02-26 17:18:57 UTC,"Friday 10 a.m. to 12 p.m., in [SIT Lab 118] (http://web.timetable.usyd.edu.au/examVenueDetails.jsp?venueAlias=J12.118)",Bach of Science and Mstr of Mathematical Sciences ,1,Written some simple Python programs,Yes,R,"Heard of it, but never used it.",Microsoft Access
201,2020-02-26 15:57:49 UTC,Friday 10:00 SIT Lab 118,"Bachelor of science

second year",1,Competent Python programmer (familiar with eg. functions and classes),Yes,R,"Heard of it, but never used it.",Microsoft Access
202,2020-02-26 13:21:40 UTC,Fridays 2-4pm SIT Lab 114,2nd year Bachelor of Advanced Computing,1,Competent Python programmer (familiar with eg. functions and classes),No,"Java,R","Heard of it, but never used it.",
203,2020-02-26 12:08:21 UTC,SIT Lab 114,"Bachelor of Science, 2nd Year",1,Competent Python programmer (familiar with eg. functions and classes),No,"Java,R","Heard of it, but never used it.",
204,2020-02-26 10:20:01 UTC,I am in SIT Lab 115 at 10 o'clock every Friday morning,I am studying advanced computing from 2019 to 2022. I have two majors: software development and computational data science.,1,Written some simple Python programs,No,"Java,R","Heard of it, but never used it.",
205,2020-02-26 09:49:36 UTC,F12A,"Software Engineering, second semester of Year two",1,Written some simple Python programs,No,Java,Can interpret some SQL statements.,PostgreSQL
206,2020-02-26 09:00:25 UTC,F08A Friday 8am,"Bachelor of Science, 2nd Yr",2,Competent Python programmer (familiar with eg. functions and classes),No,"C++,Java,Matlab,R,Visual Basic","Heard of it, but never used it.",
207,2020-02-26 08:33:09 UTC,F08A,Bachelor Science/Adv.  Studies majoring in Data Science and Chinese Studies,10,Have written complex Python programs already.,Yes,Javascript/ECMAScript,Written some SQL queries already.,PostgreSQL
208,2020-02-26 06:56:18 UTC,,Biomedical engineering (IT major) 2nd year,,Competent Python programmer (familiar with eg. functions and classes),No,"Java,R","Heard of it, but never used it.",
209,2020-02-26 05:04:44 UTC,Abbey 12-2 Friday,"Advanced Computing, 2nd year",2,Have written complex Python programs already.,Yes,"Matlab,R","Heard of it, but never used it.",
210,2020-02-26 04:46:27 UTC,F10D,"Bach Com Bach Adv Studies

2ns year",1,Written some simple Python programs,Yes,,"Heard of it, but never used it.",Microsoft Access
211,2020-02-26 02:33:08 UTC,Lab115,,2,Basic understanding,Yes,"Java,R",Can interpret some SQL statements.,"Microsoft Access,MySQL,PostgreSQL"
212,2020-02-26 02:07:23 UTC,f10c,commerce and advanced studies - 3rd year,2,Competent Python programmer (familiar with eg. functions and classes),No,R,Can interpret some SQL statements.,
213,2020-02-26 01:58:48 UTC,Friday 8am SIT Lab 118,,2,Competent Python programmer (familiar with eg. functions and classes),No,Java,Written some SQL queries already.,
214,2020-02-26 01:36:18 UTC,"Friday, 2pm to 4pm, SIT Lab 114","Bachelor of Computer Science and Technology

4th year",4,Written some simple Python programs,No,"C,Java",Written some SQL queries already.,"MySQL,Oracle,PostgreSQL"
215,2020-02-26 01:25:07 UTC,F10B,"B Advanced Computing, 2nd year",2,Competent Python programmer (familiar with eg. functions and classes),No,"Java,Matlab,R","Heard of it, but never used it.",
216,2020-02-26 01:21:30 UTC,F12A,Bachelor of Advanced Computing and Bachelor of Science third year,2,Competent Python programmer (familiar with eg. functions and classes),Yes,"Java,Matlab,R",Can already create tables and write complex SQL queries.,"MySQL,PostgreSQL"
217,2020-02-26 00:58:23 UTC,F14D,data science/the second year,0.5,Basic understanding,No,R,Never heard of SQL.,Microsoft Access
218,2020-02-26 00:35:12 UTC,SIT LAB 115,"Bachelor of Advanced Computing (Majors: Computational data science and Finance) 

Year 2",1,Have written complex Python programs already.,Yes,"Java,R","Heard of it, but never used it.",MySQL
219,2020-02-26 00:32:24 UTC,12-2pm on Fridays in SIT115,"bachelor of science, 2nd year, majoring in computer science and neuroscience",6,Have written complex Python programs already.,No,"Java,Javascript/ECMAScript",Written some SQL queries already.,SQLite
220,2020-02-26 00:25:49 UTC,F08D,"I'm an exchange student from Spain, stuying Computer Science and Engineering at ""Universidad Carlos III of Madrid"", specializing in Computer Engineering.

https://www.uc3m.es/bachelor-degree/computer-science#program_previousprogram",3,Competent Python programmer (familiar with eg. functions and classes),No,"C,C++,Java,Other (answer below in comment)",Written some SQL queries already.,Oracle
221,2020-02-26 00:25:16 UTC,F12A,Advanced computing/commerce 2nd year,1,Competent Python programmer (familiar with eg. functions and classes),No,Java,Written some SQL queries already.,MySQL
222,2020-02-26 00:13:35 UTC,F16A,"Bachelor of Science, second year.",1,Written some simple Python programs,No,R,"Heard of it, but never used it.",
223,2020-02-25 23:48:24 UTC,F10D,Bachelor of Science/Masters of Mathematical Sciences,1,Written some simple Python programs,No,,"Heard of it, but never used it.",
224,2020-02-25 23:43:56 UTC,Friday 10am SIT116,Year 2 Science Advanced studies,1,Basic understanding,No,R,Never heard of SQL.,
225,2020-02-25 23:34:43 UTC,"DATA 2901 , SIT LAB 114 (10:00 -- 12:00)","year 1 , Bachelor of Advanced Computing",1,Competent Python programmer (familiar with eg. functions and classes),No,"Java,R","Heard of it, but never used it.",Other (answer as comment below)
226,2020-02-25 23:34:18 UTC,F08A,I am an exchange student majoring in Mathematics and Philosophy and I'm in my 3rd year (out of 4).,1,Written some simple Python programs,Yes,"C,Javascript/ECMAScript,R",Written some SQL queries already.,MySQL
227,2020-02-25 23:21:17 UTC,Friday 8am SIT Lab 115,"Bachelor of Advanced Computing, 3rd Year",4,Have written complex Python programs already.,Yes,"C,Java,Javascript/ECMAScript,R",Can already create tables and write complex SQL queries.,"MySQL,PostgreSQL,SQLite"
228,2020-02-25 23:20:41 UTC,F10B Friday 10am-12pm.,Bachelor of Commerce/Bachelor of Advanced Computing - 2nd year,1,Have written complex Python programs already.,No,Java,Can interpret some SQL statements.,
229,2020-02-25 23:18:33 UTC,F10A,B.Science majoring in computer science (4th year),3,Competent Python programmer (familiar with eg. functions and classes),Yes,"Java,Matlab",Written some SQL queries already.,
230,2020-02-25 23:12:09 UTC,SIT LAB 117 10 am -12 pm ,Bachelor of Science. In my 3rd year,2,Written some simple Python programs,Yes,R,Written some SQL queries already.,"MySQL,PostgreSQL"
231,2020-02-25 21:41:19 UTC,F14C,"Bachelor of Advanced Computing, 2nd Year",6,Have written complex Python programs already.,Yes,"Java,R",Can already create tables and write complex SQL queries.,"Microsoft Access,MongoDB,MySQL,PostgreSQL,SQLite"
232,2020-02-25 21:08:31 UTC,F08A,Second year of Bachelor of Advanced computing,1,Competent Python programmer (familiar with eg. functions and classes),No,"C,Java,R",Can interpret some SQL statements.,SQLite
233,2020-02-25 13:34:48 UTC,F10D,Computing business analytics,5,Competent Python programmer (familiar with eg. functions and classes),Yes,"Java,R",Written some SQL queries already.,"Microsoft SQL Server,MySQL"
234,2020-02-25 12:45:37 UTC,F14c,"Bachelor of advanced computing

2nd year",0,Basic understanding,No,Java,"Heard of it, but never used it.",
235,2020-02-25 10:27:45 UTC,SIT115 8am,Bachelor of Science - Data Science and Information Technology,2,Competent Python programmer (familiar with eg. functions and classes),No,"Java,Javascript/ECMAScript,R,Visual Basic",Written some SQL queries already.,Microsoft Access
236,2020-02-25 09:41:42 UTC,"Friday, 10-12am","I am studying the Bachelor of Science/Bachelor of Advanced studies, in my second year.",1,Have written complex Python programs already.,Yes,"Java,R","Heard of it, but never used it.",
237,2020-02-25 08:14:43 UTC,F14C,"3rd year, adv comp",2,Competent Python programmer (familiar with eg. functions and classes),Yes,"C,Java",Can already create tables and write complex SQL queries.,"MySQL,PostgreSQL"
